creature_type,0.5,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Aberration,1,2,3,4,5,7,9,10,12,14,15,16,17,19,20,22,24,26,28,30,34
Animal,1,2,3,4,5,7,9,10,12,14,15,16,17,19,20,22,24,26,28,30,34
Construct,1,2,3,4,5,6,8,9,10,12,13,14,16,18,19,20,21,23,25,28,31
Dragon,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,21,23,25,29
Fey,2,3,4,5,6,8,10,12,13,15,17,18,20,22,23,25,26,28,31,33,37
Humanoid,1,2,3,4,5,7,9,10,12,14,15,16,17,19,20,22,24,26,28,30,34
Magical beast,1,2,3,4,5,6,8,9,10,12,13,14,16,18,19,20,21,23,25,28,31
Monstrous humanoid,1,2,3,4,5,6,8,9,10,12,13,14,16,18,19,20,21,23,25,28,31
Ooze,1,2,3,4,5,7,9,10,12,14,15,16,17,19,20,22,24,26,28,30,34
Outsider,1,2,3,4,5,6,8,9,10,12,13,14,16,18,19,20,21,23,25,28,31
Plant,1,2,3,4,5,7,9,10,12,14,15,16,17,19,20,22,24,26,28,30,34
Undead,1,2,3,4,5,7,9,10,12,14,15,16,17,19,20,22,24,26,28,30,34
Vermin,1,2,3,4,5,7,9,10,12,14,15,16,17,19,20,22,24,26,28,30,32
